global	local
[Intentional Game Design]	ゲームの仕様
Allay	アレイ
Area Effect Cloud	エリアエフェクトクラウド
Armor Stand	防具立て
Arrow	矢
Axolotl	ウーパールーパー
Bat	コウモリ
Bee	ミツバチ
Blaze	ブレイズ
Block Display	ブロック表示エンティティ
Boat	ボート
Camel	ラクダ
Cat	ネコ
Cave Spider	洞窟グモ
Boat with Chest	チェスト付きのボート
Minecart with Chest	チェスト付きのトロッコ
Chicken	ニワトリ
Cod	タラ
Minecart with Command Block	コマンドブロック付きのトロッコ
Cow	ウシ
Creeper	クリーパー
Dolphin	イルカ
Donkey	ロバ
Dragon Fireball	ドラゴンの火の玉
Drowned	ドラウンド
Thrown Egg	投げられた卵
Elder Guardian	エルダーガーディアン
End Crystal	エンドクリスタル
Ender Dragon	エンダードラゴン
Thrown Ender Pearl	投げられたエンダーパール
Enderman	エンダーマン
Endermite	エンダーマイト
Evoker	エヴォーカー
Evoker Fangs	エヴォーカーの牙
Thrown Bottle o' Enchanting	投げられたエンチャントの瓶
Experience Orb	経験値オーブ
Eye of Ender	エンダーアイ
Falling Block	落下中のブロック
Falling %s	落下中の%s
Fireball	火の玉
Firework Rocket	ロケット花火
Fishing Bobber	浮き
Fox	キツネ
Frog	カエル
Minecart with Furnace	かまど付きのトロッコ
Ghast	ガスト
Giant	ジャイアント
Glow Item Frame	輝く額縁
Glow Squid	ヒカリイカ
Goat	ヤギ
Guardian	ガーディアン
Hoglin	ホグリン
Minecart with Hopper	ホッパー付きのトロッコ
Horse	ウマ
Husk	ハスク
Illusioner	イリュージョナー
Interaction	操作記録エンティティ
Iron Golem	アイアンゴーレム
Item	アイテム
Item Display	アイテム表示エンティティ
Item Frame	額縁
The Killer Bunny	殺人ウサギ
Leash Knot	リードの結び目
Lightning Bolt	雷
Llama	ラマ
Llama Spit	ラマの唾
Magma Cube	マグマキューブ
Marker	マーカー
Minecart	トロッコ
Mooshroom	ムーシュルーム
Mule	ラバ
Ocelot	ヤマネコ
Painting	絵画
Panda	パンダ
Parrot	オウム
Phantom	ファントム
Pig	ブタ
Piglin	ピグリン
Piglin Brute	ピグリンブルート
Pillager	ピリジャー
Player	プレイヤー
Polar Bear	シロクマ
Potion	ポーション
Pufferfish	フグ
Rabbit	ウサギ
Ravager	ラヴェジャー
Salmon	サケ
Sheep	ヒツジ
Shulker	シュルカー
Shulker Bullet	シュルカーの弾
Silverfish	シルバーフィッシュ
Skeleton	スケルトン
Skeleton Horse	スケルトンホース
Slime	スライム
Small Fireball	小さな火の玉
Sniffer	スニッファー
Snow Golem	スノウゴーレム
Snowball	雪玉
Minecart with Monster Spawner	モンスタースポナー付きのトロッコ
Spectral Arrow	光の矢
Spider	クモ
Squid	イカ
Stray	ストレイ
Strider	ストライダー
Tadpole	オタマジャクシ
Text Display	テキスト表示エンティティ
Primed TNT	着火されたTNT
Minecart with TNT	TNT付きのトロッコ
Trader Llama	商人のラマ
Trident	トライデント
Tropical Fish	熱帯魚
Turtle	カメ
Vex	ヴェックス
Villager	村人
Armorer	防具鍛冶
Butcher	肉屋
Cartographer	製図家
Cleric	聖職者
Farmer	農民
Fisherman	釣り人
Fletcher	矢師
Leatherworker	革細工師
Librarian	司書
Mason	石工
Nitwit	無職
Villager	村人
Shepherd	羊飼い
Toolsmith	道具鍛冶
Weaponsmith	武器鍛冶
Vindicator	ヴィンディケーター
Wandering Trader	行商人
Warden	ウォーデン
Witch	ウィッチ
Wither	ウィザー
Wither Skeleton	ウィザースケルトン
Wither Skull	ウィザーの頭蓋骨
Wolf	オオカミ
Zoglin	ゾグリン
Zombie	ゾンビ
Zombie Horse	ゾンビホース
Zombie Villager	村人ゾンビ
Zombified Piglin	ゾンビピグリン
