key	locale
tellraw.text.unknown_user	不明なユーザー
tellraw.text.unknown_role	削除されたロール
tellraw.text.unknown_channel	不明
tellraw.text.attachments_before	%1$sのメッセージには
tellraw.text.attachments_after	が添付されています
tellraw.hover.open_url	クリックしてURLを開く
tellraw.hover.open_channel	クリックして %1$s を開く
bot.message.server_opened	:white_check_mark: **サーバーが起動しました**
bot.message.server_closed	:no_entry: **サーバーが閉鎖されました**
bot.message.player_join	:city_sunrise: %1$s がゲームに参加しました
bot.message.player_leave	:night_with_stars: %1$s がゲームから退出しました
bot.message.chat	:speech_balloon: <%1$s> %2$s
bot.message.advancement.advancement	:third_place: %1$s は進捗 [%2$s] を達成しました
bot.message.advancement.goal	:second_place: %1$s は目標 [%2$s] を達成しました
bot.message.advancement.challenge	:first_place: %1$s は挑戦 [%2$s] を完了しました
bot.message.death	:skull: %1$s
bot.embed.player_join.title	ゲームに参加しました
bot.embed.player_leave.title	ゲームから退出しました
bot.embed.unknown_advancement.description	情報がありません
bot.command.list.desc	サーバーに参加中のプレイヤーの一覧を表示します
bot.command.list.reply	:cityscape: %1$s人のプレイヤーがオンラインです（最大%2$s人）：%3$s
bot.command.list.reply_error	:x: サーバーが起動していないなどの理由でサーバーと通信ができませんでした
