name_global	name_local
{victim} fell off a ladder	{victim}ははしごから落ちた
{victim} fell off some vines	{victim}はツタから滑り落ちた
{victim} fell off some weeping vines	{victim}はしだれツタから滑り落ちた
{victim} fell off some twisting vines	{victim}はねじれツタから滑り落ちた
{victim} fell off scaffolding	{victim}は足場から滑り落ちた
{victim} fell while climbing	{victim}は登る途中で落ちた
{victim} fell from a high place	{victim}は高い所から落ちた
{victim} was doomed to fall	{victim}は落ちる運命だった
{victim} was doomed to fall by {killer}	{victim}は{killer}に落とされる運命だった
{victim} was doomed to fall by {killer} using {weapon}	{victim}は{killer}の{weapon}で落とされる運命だった
{victim} fell too far and was finished by {killer}	{victim}は高いところから落下し、{weapon}によってとどめを刺された
{victim} fell too far and was finished by {killer} using {weapon}	{victim} は高いところから落下し、{killer}の{weapon}によってとどめを刺された
{victim} was struck by lightning	{victim}は雷に打たれた
{victim} was struck by lightning whilst fighting {killer}	{victim}は{killer}と戦いながら雷に打たれた
{victim} went up in flames	{victim} は炎に巻かれた
{victim} walked into fire whilst fighting {killer}	{victim}は{killer}と戦いながら火の中へ踏み入った
{victim} burned to death	{victim} はこんがりと焼けた
{victim} was burnt to a crisp whilst fighting {killer}	{victim}は{killer}と戦いながらカリカリに焼けた
{victim} tried to swim in lava	{victim}は溶岩遊泳を試みた
{victim} tried to swim in lava to escape {killer}	{victim}は{killer}から逃れようと溶岩遊泳を試みた
{victim} discovered the floor was lava	{victim}は床が溶岩だったと気付いた
{victim} walked into danger zone due to {killer}	{victim}は{killer}に妨害されて危険地帯に足を踏み入れた
{victim} suffocated in a wall	{victim}は壁の中で窒息した
{victim} suffocated in a wall whilst fighting {killer}	{victim}は%{killer}と戦いながら壁の中で窒息した
{victim} was squished too much	{victim}は押しつぶされた
{victim} was squashed by {killer}	{victim}は{killer}に押しつぶされた
{victim} drowned	{victim}は溺れ死んだ
{victim} drowned whilst trying to escape {killer}	{victim}は{killer}から逃れようとして溺れ死んだ
{victim} died from dehydration	{victim}は脱水で死んだ
{victim} died from dehydration whilst trying to escape {killer}	{victim}は{killer}から逃れようとして脱水で死んだ
{victim} starved to death	{victim}は飢え死にした
{victim} starved to death whilst fighting {killer}	{victim}は{killer}と戦いながら飢え死にした
{victim} was pricked to death	{victim}はサボテンが刺さって死んだ
{victim} walked into a cactus whilst trying to escape {killer}	{victim}は{killer}から逃げようとしてサボテンにぶつかった
{victim} died	{victim}は死んだ
{victim} died because of {killer}	{victim}は{killer}によって死んだ
{victim} blew up	{victim}は爆発に巻き込まれた
{victim} was blown up by {killer}	{victim}は{killer}に爆破された
{victim} was blown up by {killer} using {weapon}	{victim}は{killer}の{weapon}で爆破された
{victim} was killed by magic	{victim}は魔法で殺された
{victim} was killed by magic whilst trying to escape {killer}	{victim}は{killer}ら逃れようとして魔法で殺された
{victim} was killed by even more magic	{victim}は魔法の奔流で殺された
