key	global	local
death.attack.anvil	%1$s was squashed by a falling anvil	%1$s was squashed by a falling anvil
death.attack.anvil.player	%1$s was squashed by a falling anvil whilst fighting %2$s	%1$s was squashed by a falling anvil whilst fighting %2$s
death.attack.arrow	%1$s was shot by %2$s	%1$s was shot by %2$s
death.attack.arrow.item	%1$s was shot by %2$s using %3$s	%1$s was shot by %2$s using %3$s
death.attack.badRespawnPoint.message	%1$s was killed by %2$s	%1$s was killed by %2$s
death.attack.cactus	%1$s was pricked to death	%1$s was pricked to death
death.attack.cactus.player	%1$s walked into a cactus whilst trying to escape %2$s	%1$s walked into a cactus whilst trying to escape %2$s
death.attack.cramming	%1$s was squished too much	%1$s was squished too much
death.attack.cramming.player	%1$s was squashed by %2$s	%1$s was squashed by %2$s
death.attack.dragonBreath	%1$s was roasted in dragon's breath	%1$s was roasted in dragon's breath
death.attack.dragonBreath.player	%1$s was roasted in dragon's breath by %2$s	%1$s was roasted in dragon's breath by %2$s
death.attack.drown	%1$s drowned	%1$s drowned
death.attack.drown.player	%1$s drowned whilst trying to escape %2$s	%1$s drowned whilst trying to escape %2$s
death.attack.dryout	%1$s died from dehydration	%1$s died from dehydration
death.attack.dryout.player	%1$s died from dehydration whilst trying to escape %2$s	%1$s died from dehydration whilst trying to escape %2$s
death.attack.even_more_magic	%1$s was killed by even more magic	%1$s was killed by even more magic
death.attack.explosion	%1$s blew up	%1$s blew up
death.attack.explosion.player	%1$s was blown up by %2$s	%1$s was blown up by %2$s
death.attack.explosion.player.item	%1$s was blown up by %2$s using %3$s	%1$s was blown up by %2$s using %3$s
death.attack.fall	%1$s hit the ground too hard	%1$s hit the ground too hard
death.attack.fall.player	%1$s hit the ground too hard whilst trying to escape %2$s	%1$s hit the ground too hard whilst trying to escape %2$s
death.attack.fallingBlock	%1$s was squashed by a falling block	%1$s was squashed by a falling block
death.attack.fallingBlock.player	%1$s was squashed by a falling block whilst fighting %2$s	%1$s was squashed by a falling block whilst fighting %2$s
death.attack.fallingStalactite	%1$s was skewered by a falling stalactite	%1$s was skewered by a falling stalactite
death.attack.fallingStalactite.player	%1$s was skewered by a falling stalactite whilst fighting %2$s	%1$s was skewered by a falling stalactite whilst fighting %2$s
death.attack.fireball	%1$s was fireballed by %2$s	%1$s was fireballed by %2$s
death.attack.fireball.item	%1$s was fireballed by %2$s using %3$s	%1$s was fireballed by %2$s using %3$s
death.attack.fireworks	%1$s went off with a bang	%1$s went off with a bang
death.attack.fireworks.item	%1$s went off with a bang due to a firework fired from %3$s by %2$s	%1$s went off with a bang due to a firework fired from %3$s by %2$s
death.attack.fireworks.player	%1$s went off with a bang whilst fighting %2$s	%1$s went off with a bang whilst fighting %2$s
death.attack.flyIntoWall	%1$s experienced kinetic energy	%1$s experienced kinetic energy
death.attack.flyIntoWall.player	%1$s experienced kinetic energy whilst trying to escape %2$s	%1$s experienced kinetic energy whilst trying to escape %2$s
death.attack.freeze	%1$s froze to death	%1$s froze to death
death.attack.freeze.player	%1$s was frozen to death by %2$s	%1$s was frozen to death by %2$s
death.attack.generic	%1$s died	%1$s died
death.attack.genericKill	%1$s was killed	%1$s was killed
