global	local
[Intentional Game Design]	Intentional Game Design
Allay	Allay
Area Effect Cloud	Area Effect Cloud
Armor Stand	Armor Stand
Arrow	Arrow
Axolotl	Axolotl
Bat	Bat
Bee	Bee
Blaze	Blaze
Block Display	Block Display
Boat	Boat
Camel	Camel
Cat	Cat
Cave Spider	Cave Spider
Boat with Chest	Boat with Chest
Minecart with Chest	Minecart with Chest
Chicken	Chicken
Cod	Cod
Minecart with Command Block	Minecart with Command Block
Cow	Cow
Creeper	Creeper
Dolphin	Dolphin
Donkey	Donkey
Dragon Fireball	Dragon Fireball
Drowned	Drowned
Thrown Egg	Thrown Egg
Elder Guardian	Elder Guardian
End Crystal	End Crystal
Ender Dragon	Ender Dragon
Thrown Ender Pearl	Thrown Ender Pearl
Enderman	Enderman
Endermite	Endermite
Evoker	Evoker
Evoker Fangs	Evoker Fangs
Thrown Bottle o' Enchanting	Thrown Bottle o' Enchanting
Experience Orb	Experience Orb
Eye of Ender	Eye of Ender
Falling Block	Falling Block
Falling %s	Falling %s
Fireball	Fireball
Firework Rocket	Firework Rocket
Fishing Bobber	Fishing Bobber
Fox	Fox
Frog	Frog
Minecart with Furnace	Minecart with Furnace
Ghast	Ghast
Giant	Giant
Glow Item Frame	Glow Item Frame
Glow Squid	Glow Squid
Goat	Goat
Guardian	Guardian
Hoglin	Hoglin
Minecart with Hopper	Minecart with Hopper
Horse	Horse
Husk	Husk
Illusioner	Illusioner
Interaction	Interaction
Iron Golem	Iron Golem
Item	Item
Item Display	Item Display
Item Frame	Item Frame
The Killer Bunny	The Killer Bunny
Leash Knot	Leash Knot
Lightning Bolt	Lightning Bolt
Llama	Llama
Llama Spit	Llama Spit
Magma Cube	Magma Cube
Marker	Marker
Minecart	Minecart
Mooshroom	Mooshroom
Mule	Mule
Ocelot	Ocelot
Painting	Painting
Panda	Panda
Parrot	Parrot
Phantom	Phantom
Pig	Pig
Piglin	Piglin
Piglin Brute	Piglin Brute
Pillager	Pillager
Player	Player
Polar Bear	Polar Bear
Potion	Potion
Pufferfish	Pufferfish
Rabbit	Rabbit
Ravager	Ravager
Salmon	Salmon
Sheep	Sheep
Shulker	Shulker
Shulker Bullet	Shulker Bullet
Silverfish	Silverfish
Skeleton	Skeleton
Skeleton Horse	Skeleton Horse
Slime	Slime
Small Fireball	Small Fireball
Sniffer	Sniffer
Snow Golem	Snow Golem
Snowball	Snowball
Minecart with Monster Spawner	Minecart with Monster Spawner
Spectral Arrow	Spectral Arrow
Spider	Spider
Squid	Squid
Stray	Stray
Strider	Strider
Tadpole	Tadpole
Text Display	Text Display
Primed TNT	Primed TNT
Minecart with TNT	Minecart with TNT
Trader Llama	Trader Llama
Trident	Trident
Tropical Fish	Tropical Fish
Turtle	Turtle
Vex	Vex
Villager	Villager
Armorer	Armorer
Butcher	Butcher
Cartographer	Cartographer
Cleric	Cleric
Farmer	Farmer
Fisherman	Fisherman
Fletcher	Fletcher
Leatherworker	Leatherworker
Librarian	Librarian
Mason	Mason
Nitwit	Nitwit
Villager	Villager
Shepherd	Shepherd
Toolsmith	Toolsmith
Weaponsmith	Weaponsmith
Vindicator	Vindicator
Wandering Trader	Wandering Trader
Warden	Warden
Witch	Witch
Wither	Wither
Wither Skeleton	Wither Skeleton
Wither Skull	Wither Skull
Wolf	Wolf
Zoglin	Zoglin
Zombie	Zombie
Zombie Horse	Zombie Horse
Zombie Villager	Zombie Villager
Zombified Piglin	Zombified Piglin
