key	global	local
death.attack.badRespawnPoint.link	[Intentional Game Design]	ゲームの仕様
entity.minecraft.allay	Allay	アレイ
entity.minecraft.area_effect_cloud	Area Effect Cloud	エリアエフェクトクラウド
entity.minecraft.armor_stand	Armor Stand	防具立て
entity.minecraft.arrow	Arrow	矢
entity.minecraft.axolotl	Axolotl	ウーパールーパー
entity.minecraft.bat	Bat	コウモリ
entity.minecraft.bee	Bee	ミツバチ
entity.minecraft.blaze	Blaze	ブレイズ
entity.minecraft.block_display	Block Display	ブロック表示エンティティ
entity.minecraft.boat	Boat	ボート
entity.minecraft.camel	Camel	ラクダ
entity.minecraft.cat	Cat	ネコ
entity.minecraft.cave_spider	Cave Spider	洞窟グモ
entity.minecraft.chest_boat	Boat with Chest	チェスト付きのボート
entity.minecraft.chest_minecart	Minecart with Chest	チェスト付きのトロッコ
entity.minecraft.chicken	Chicken	ニワトリ
entity.minecraft.cod	Cod	タラ
entity.minecraft.command_block_minecart	Minecart with Command Block	コマンドブロック付きのトロッコ
entity.minecraft.cow	Cow	ウシ
entity.minecraft.creeper	Creeper	クリーパー
entity.minecraft.dolphin	Dolphin	イルカ
entity.minecraft.donkey	Donkey	ロバ
entity.minecraft.dragon_fireball	Dragon Fireball	ドラゴンの火の玉
entity.minecraft.drowned	Drowned	ドラウンド
entity.minecraft.egg	Thrown Egg	投げられた卵
entity.minecraft.elder_guardian	Elder Guardian	エルダーガーディアン
entity.minecraft.end_crystal	End Crystal	エンドクリスタル
entity.minecraft.ender_dragon	Ender Dragon	エンダードラゴン
entity.minecraft.ender_pearl	Thrown Ender Pearl	投げられたエンダーパール
entity.minecraft.enderman	Enderman	エンダーマン
entity.minecraft.endermite	Endermite	エンダーマイト
entity.minecraft.evoker	Evoker	エヴォーカー
entity.minecraft.evoker_fangs	Evoker Fangs	エヴォーカーの牙
entity.minecraft.experience_bottle	Thrown Bottle o' Enchanting	投げられたエンチャントの瓶
entity.minecraft.experience_orb	Experience Orb	経験値オーブ
entity.minecraft.eye_of_ender	Eye of Ender	エンダーアイ
entity.minecraft.falling_block	Falling Block	落下中のブロック
entity.minecraft.falling_block_type	Falling %s	落下中の%s
entity.minecraft.fireball	Fireball	火の玉
entity.minecraft.firework_rocket	Firework Rocket	ロケット花火
entity.minecraft.fishing_bobber	Fishing Bobber	浮き
entity.minecraft.fox	Fox	キツネ
entity.minecraft.frog	Frog	カエル
entity.minecraft.furnace_minecart	Minecart with Furnace	かまど付きのトロッコ
entity.minecraft.ghast	Ghast	ガスト
entity.minecraft.giant	Giant	ジャイアント
entity.minecraft.glow_item_frame	Glow Item Frame	輝く額縁
entity.minecraft.glow_squid	Glow Squid	ヒカリイカ
entity.minecraft.goat	Goat	ヤギ
entity.minecraft.guardian	Guardian	ガーディアン
entity.minecraft.hoglin	Hoglin	ホグリン
entity.minecraft.hopper_minecart	Minecart with Hopper	ホッパー付きのトロッコ
entity.minecraft.horse	Horse	ウマ
entity.minecraft.husk	Husk	ハスク
entity.minecraft.illusioner	Illusioner	イリュージョナー
entity.minecraft.interaction	Interaction	操作記録エンティティ
entity.minecraft.iron_golem	Iron Golem	アイアンゴーレム
entity.minecraft.item	Item	アイテム
entity.minecraft.item_display	Item Display	アイテム表示エンティティ
entity.minecraft.item_frame	Item Frame	額縁
entity.minecraft.killer_bunny	The Killer Bunny	殺人ウサギ
entity.minecraft.leash_knot	Leash Knot	リードの結び目
entity.minecraft.lightning_bolt	Lightning Bolt	雷
entity.minecraft.llama	Llama	ラマ
entity.minecraft.llama_spit	Llama Spit	ラマの唾
entity.minecraft.magma_cube	Magma Cube	マグマキューブ
entity.minecraft.marker	Marker	マーカー
entity.minecraft.minecart	Minecart	トロッコ
entity.minecraft.mooshroom	Mooshroom	ムーシュルーム
entity.minecraft.mule	Mule	ラバ
entity.minecraft.ocelot	Ocelot	ヤマネコ
entity.minecraft.painting	Painting	絵画
entity.minecraft.panda	Panda	パンダ
entity.minecraft.parrot	Parrot	オウム
entity.minecraft.phantom	Phantom	ファントム
entity.minecraft.pig	Pig	ブタ
entity.minecraft.piglin	Piglin	ピグリン
entity.minecraft.piglin_brute	Piglin Brute	ピグリンブルート
entity.minecraft.pillager	Pillager	ピリジャー
entity.minecraft.player	Player	プレイヤー
entity.minecraft.polar_bear	Polar Bear	シロクマ
entity.minecraft.potion	Potion	ポーション
entity.minecraft.pufferfish	Pufferfish	フグ
entity.minecraft.rabbit	Rabbit	ウサギ
entity.minecraft.ravager	Ravager	ラヴェジャー
entity.minecraft.salmon	Salmon	サケ
entity.minecraft.sheep	Sheep	ヒツジ
entity.minecraft.shulker	Shulker	シュルカー
entity.minecraft.shulker_bullet	Shulker Bullet	シュルカーの弾
entity.minecraft.silverfish	Silverfish	シルバーフィッシュ
entity.minecraft.skeleton	Skeleton	スケルトン
entity.minecraft.skeleton_horse	Skeleton Horse	スケルトンホース
